level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,京都,芝,1400.0,同距離,668,668,668,0.0,0.004621735512402303,0.008262307012632447,0.0,0.00391791792168114,0.0021012263011821602
COURSE,京都,芝,1400.0,延長200-399,433,433,433,0.0,0.0034938427580930576,-0.01184528381034055,0.0,0.002735685197566535,-0.0027824635930619123
COURSE,京都,芝,1400.0,短縮200-399,424,424,424,0.0,0.0007111579602203655,0.008248184314632215,0.0,0.0005542848807599907,0.0019286195676860621
COURSE,京都,芝,1400.0,短縮400m+,105,105,105,0.0,-0.0030834130340890997,-0.012439147221755924,0.0,-0.0014389260825749131,-0.0017414806110458293
COURSE,京都,芝,1600.0,同距離,918,918,918,0.0,0.005867968608125773,0.02960969745458486,0.0,0.005189590734354007,0.007855983313095057
COURSE,京都,芝,1600.0,延長200-399,391,391,391,0.0,0.004204018997734371,-0.021257026046409742,0.0,0.0032167738319259084,-0.004879548249009516
COURSE,京都,芝,1600.0,延長400m+,148,148,148,0.0,0.00019915453749508316,-0.06145195243059444,0.0,0.00010998086398982206,-0.010180845850441766
COURSE,京都,芝,1600.0,短縮200-399,371,371,371,0.0,-0.0002167142295113056,0.01667873890764407,0.0,-0.00016374944836801297,0.003780740611854959
COURSE,京都,芝,1600.0,短縮400m+,160,160,160,0.0,0.003517142621108471,-0.037465465944107955,0.0,0.002009795783490555,-0.00642265130470422
COURSE,京都,芝,1800.0,同距離,554,554,554,-0.038714733542319746,0.28734868594579466,0.026479974650023205,-0.012728761057830943,0.23618868251330896,0.006529631731207503
COURSE,京都,芝,1800.0,延長200-399,354,354,354,-0.038714733542319746,0.28540601230125906,0.00370773781060163,-0.011565414070870202,0.21315132564271247,0.0008307210031347956
COURSE,京都,芝,1800.0,延長400m+,128,128,128,-0.038714733542319746,0.27362269358522295,-0.046963166144200624,-0.007992719182930529,0.14122461604398603,-0.00727171604813429
COURSE,京都,芝,1800.0,短縮200-399,380,380,380,-0.038714733542319746,0.28569777179541134,0.008628939118957277,-0.011769278996865203,0.21713030656451263,0.001967398119122259
COURSE,京都,芝,1800.0,短縮400m+,86,86,86,-0.038714733542319746,0.29014810505388444,-0.008445724283735509,-0.006464984630367958,0.12112979143026244,-0.0010577654685455151
COURSE,京都,芝,2000.0,同距離,669,669,669,0.024020308125907344,-0.07442379974300861,0.02578137386967594,0.008146811729395192,-0.06310459065661947,0.0065580757105753625
COURSE,京都,芝,2000.0,延長200-399,492,492,492,0.025797624105345168,-0.07167987734440429,-0.005681676186833601,0.008295706575052172,-0.05762499943373678,-0.0013702866097657508
COURSE,京都,芝,2000.0,延長400m+,145,145,145,0.051575588781543655,-0.10527972024027565,-0.00988689065277136,0.01128824207294163,-0.05760588465977347,-0.0016229424279077514
COURSE,京都,芝,2000.0,短縮200-399,86,86,86,0.004101651331663944,-0.09747917448693744,0.04905456885003538,0.0006849359505302897,-0.040695189348915625,0.006143727555004431
COURSE,京都,芝,2000.0,短縮400m+,100,100,100,-0.005665790528801173,-0.1904217365798072,-0.008852407894150663,-0.0010301437325093044,-0.08655533480900328,-0.001207146531020545
COURSE,京都,芝,2200.0,同距離,96,96,96,-0.03768305270627701,0.006037262393742804,0.015367960131604408,-0.006699209370004802,0.002683227730552357,0.0020490613508805876
COURSE,京都,芝,2200.0,延長200-399,249,249,249,0.03310007982384347,0.034057932319533135,-0.006092883241889571,0.008934330489037424,0.02298218197171748,-0.0012334373392117912
COURSE,京都,芝,2200.0,延長400m+,141,141,141,-0.008427733557340833,-0.04703772706657211,-0.00746005405279275,-0.0018211654123908927,-0.025411185886538956,-0.0012090432430388249
COURSE,京都,芝,2200.0,短縮200-399,122,122,122,-0.005579227569664988,-0.04387997511088626,0.019978615869309324,-0.00112506737768451,-0.02212130976664514,0.003021559259573228
COURSE,京都,芝,2400.0,同距離,152,152,152,-0.012571779093817043,-0.017081879257790478,0.054194018730007856,-0.0028101623856767507,-0.009545756055824091,0.00908546784591308
COURSE,京都,芝,2400.0,延長200-399,141,141,141,0.03562717574007619,0.040370038864640856,0.022419102716569994,0.007698746021993476,0.021809101455610578,0.0036334407850992746
COURSE,京都,芝,2400.0,延長400m+,228,228,228,-0.0147647615499574,-0.0036624743378050884,-0.035718261971746545,-0.003869385785506077,-0.002399552152355058,-0.007020485973757079
COURSE,京都,芝,2400.0,短縮200-399,44,44,44,0.028696163489915008,-0.03836198574362104,0.0069452149022566495,0.003079588276966489,-0.010292240077556865,0.0005590051018889499
